DATE-TIME,HP Temp (0-5cm) ,Temp 1cm ,Temp 2.5cm ,Temp 5cm ,SM (0-5cm)
1-6-2018 0:00,5.1,6.98,7.45,8.19,16.92
1-6-2018 0:20,4.7,6.69,7.18,7.96,16.82
1-6-2018 0:40,4.4,6.43,6.95,7.74,16.49
1-6-2018 1:00,4,6.1,6.61,7.47,16.75
1-6-2018 1:20,3.9,6.01,6.51,7.39,16.76
1-6-2018 1:40,3.5,5.72,6.21,7.08,16.66
1-6-2018 2:00,3.3,5.57,6.05,6.91,16.77
1-6-2018 2:20,3,5.31,5.79,6.69,16.57
1-6-2018 2:40,2.9,5.18,5.65,6.55,16.59
1-6-2018 3:00,2.8,5.03,5.51,6.35,16.37
1-6-2018 3:20,2.6,4.9,5.37,6.27,16.49
1-6-2018 3:40,2.3,4.69,5.16,6.06,16.28
1-6-2018 4:00,2.2,4.51,5,5.89,16.4
1-6-2018 4:20,2,4.39,4.85,5.78,16.19
1-6-2018 4:40,1.9,4.23,4.75,5.63,16.2
1-6-2018 5:00,1.6,4.09,4.54,5.46,16.32
1-6-2018 5:20,1.5,3.95,4.42,5.33,16.11
1-6-2018 5:40,1.4,3.77,4.24,5.19,16.22
1-6-2018 6:00,1.4,3.76,4.17,5.07,16.22
1-6-2018 6:20,1.3,3.56,4.03,4.96,16.01
1-6-2018 6:40,1.2,3.54,3.96,4.87,16.11
1-6-2018 7:00,1.1,3.43,3.88,4.77,15.9
1-6-2018 7:20,1.1,3.35,3.79,4.68,15.99
1-6-2018 7:40,1.1,3.29,3.67,4.56,15.87
1-6-2018 8:00,1.4,3.31,3.66,4.52,15.95
1-6-2018 8:20,1.9,3.47,3.79,4.56,15.9
1-6-2018 8:40,3.1,3.83,4.11,4.69,15.79
1-6-2018 9:00,4.3,4.35,4.54,4.96,15.57
1-6-2018 9:20,5.5,4.94,5.07,5.34,15.52
1-6-2018 9:40,6.9,5.69,5.69,5.77,15.54
1-6-2018 10:00,8.2,6.39,6.3,6.25,15.46
1-6-2018 10:20,9.9,7.11,6.97,6.73,15.47
1-6-2018 10:40,11.2,8.01,7.67,7.33,15.32
1-6-2018 11:00,12.4,8.86,8.41,7.93,15.52
1-6-2018 11:20,13.1,9.61,9.08,8.46,15.6
1-6-2018 11:40,14.3,10.42,9.9,9.13,15.65
1-6-2018 12:00,15.2,10.87,10.36,9.53,15.52
1-6-2018 12:20,16.5,11.58,11.08,10.23,15.6
1-6-2018 12:40,17.2,12.09,11.52,10.6,15.85
1-6-2018 13:00,18.2,12.8,12.13,11.2,15.68
1-6-2018 13:20,18.4,13.21,12.55,11.59,15.94
1-6-2018 13:40,18.4,13.58,12.88,11.86,15.78
1-6-2018 14:00,18.2,13.83,13.12,12.15,16.05
1-6-2018 14:20,18.2,13.92,13.27,12.37,16.04
1-6-2018 14:40,17.7,13.83,13.28,12.5,15.89
1-6-2018 15:00,17.3,13.6,13.28,12.56,15.89
1-6-2018 15:20,16.8,13.4,13.17,12.54,16.05
1-6-2018 15:40,16.2,13.11,12.93,12.48,16.06
1-6-2018 16:00,15.2,12.78,12.69,12.38,15.8
1-6-2018 16:20,14,12.33,12.36,12.16,15.74
1-6-2018 16:40,13,11.92,12.01,11.93,15.77
1-6-2018 17:00,12.1,11.48,11.61,11.65,16.07
1-6-2018 17:20,11.2,11.04,11.19,11.37,15.84
1-6-2018 17:40,10.2,10.54,10.82,11.04,15.84
1-6-2018 18:00,9.3,10.22,10.52,10.83,15.65
