DATE-TIME,Temp 4cm,Temp 15cm,Temp 45cm,Temp 75cm,SM 0-8cm,SM 0-30cm,SM 30-60cm,SM 60-90cm,Suction 4cm,Suction 15cm,Suction 45cm,Suction 75cm
,(C),(C),(C),(C),(%vol),(%vol),(%vol),(%vol),(kPa),(kPa),(kPa),(kPa)
01-12-2008 00:00,18.0,-99.0,20.7,-99.0,10.45,19.98,18.16,21.84,600,85,72,600
01-12-2008 00:30,17.7,-99.0,20.6,-99.0,10.47,20.07,18.18,21.92,600,85,72,600
01-12-2008 01:00,17.7,-99.0,20.8,-99.0,10.46,20.02,18.15,21.82,600,85,72,600
01-12-2008 01:30,17.1,-99.0,20.4,-99.0,10.49,20.02,18.21,21.80,600,85,72,600
01-12-2008 02:00,17.1,-99.0,20.5,-99.0,10.48,19.99,18.20,21.73,600,85,72,600
01-12-2008 02:30,16.8,-99.0,20.2,-99.0,10.49,19.98,18.24,21.73,600,85,72,600
01-12-2008 03:00,16.5,-99.0,20.2,-99.0,10.50,20.00,18.24,21.73,600,85,72,600
01-12-2008 03:30,16.2,-99.0,20.1,-99.0,10.51,20.05,18.24,21.72,600,85,72,600
01-12-2008 04:00,16.1,-99.0,20.0,-99.0,10.52,20.08,18.26,21.75,600,85,72,600
01-12-2008 04:30,15.8,-99.0,20.0,-99.0,10.54,20.10,18.27,21.80,600,85,72,600
01-12-2008 05:00,15.6,-99.0,19.7,-99.0,10.55,20.11,18.31,21.80,516,85,72,600
01-12-2008 05:30,15.7,-99.0,19.9,-99.0,10.53,20.10,18.28,21.80,600,85,72,600
01-12-2008 06:00,15.8,-99.0,20.0,-99.0,10.51,20.11,18.26,21.80,600,87,72,600
01-12-2008 06:30,16.9,-99.0,20.7,-99.0,10.40,20.00,18.16,21.80,600,87,72,600
01-12-2008 07:00,16.8,-99.0,20.0,-99.0,10.38,19.94,18.26,21.80,600,87,72,600
01-12-2008 07:30,17.5,-99.0,19.8,-99.0,10.30,19.83,18.26,21.80,600,87,72,600
01-12-2008 08:00,17.2,-99.0,18.9,-99.0,10.31,19.84,18.37,21.87,600,87,72,600
01-12-2008 08:30,17.9,-99.0,18.9,-99.0,10.24,19.79,18.36,21.92,600,87,69,600
01-12-2008 09:00,18.6,-99.0,18.9,-99.0,10.20,19.76,18.38,21.87,600,87,69,600
01-12-2008 09:30,19.1,-99.0,18.8,-99.0,10.13,19.75,18.39,21.92,600,87,69,600
01-12-2008 10:00,19.7,-99.0,18.8,-99.0,10.06,19.71,18.38,21.92,600,87,72,600
01-12-2008 10:30,21.2,-99.0,19.4,-99.0,9.92,19.65,18.29,21.92,600,85,72,600
01-12-2008 11:00,21.6,-99.0,19.1,-99.0,9.86,19.60,18.32,21.92,600,85,69,600
01-12-2008 11:30,22.1,-99.0,19.0,-99.0,9.80,19.56,18.31,21.87,600,85,69,600
01-12-2008 12:00,22.4,-99.0,18.6,-99.0,9.76,19.56,18.36,21.85,600,85,69,600
01-12-2008 12:30,22.9,-99.0,18.7,-99.0,9.70,19.50,18.33,21.85,600,85,69,600
01-12-2008 13:00,23.2,-99.0,18.6,-99.0,9.66,19.49,18.34,21.85,600,85,69,600
01-12-2008 13:30,23.8,-99.0,18.6,-99.0,9.60,19.22,18.32,21.51,600,85,69,600
01-12-2008 14:00,23.8,-99.0,18.6,-99.0,9.57,19.27,18.31,21.58,600,85,69,600
01-12-2008 14:30,23.8,-99.0,18.5,-99.0,9.55,19.30,18.31,21.69,600,85,69,600
01-12-2008 15:00,24.1,-99.0,18.4,-99.0,9.50,19.21,18.32,21.60,600,83,69,600
01-12-2008 15:30,23.5,-99.0,18.5,-99.0,9.52,19.15,18.29,21.52,600,83,69,600
01-12-2008 16:00,22.8,-99.0,18.5,-99.0,9.56,19.18,18.29,21.62,600,83,69,600
01-12-2008 16:30,22.6,-99.0,18.6,-99.0,9.54,19.19,18.27,21.69,600,83,69,600
01-12-2008 17:00,22.3,-99.0,18.6,-99.0,9.52,19.25,18.26,21.68,600,83,69,600
01-12-2008 17:30,21.9,-99.0,18.6,-99.0,9.53,19.26,18.26,21.70,600,83,72,600
01-12-2008 18:00,21.3,-99.0,18.6,-99.0,9.56,19.32,18.26,21.72,600,85,72,600
01-12-2008 18:30,21.0,-99.0,18.9,-99.0,9.58,19.46,18.22,21.84,600,85,72,600
01-12-2008 19:00,20.5,-99.0,19.1,-99.0,9.60,19.52,18.19,21.83,600,85,72,600
01-12-2008 19:30,20.7,-99.0,19.9,-99.0,9.58,19.49,18.09,21.76,600,85,72,600
01-12-2008 20:00,20.0,-99.0,19.6,-99.0,9.61,19.54,18.13,21.78,600,85,72,600
01-12-2008 20:30,19.7,-99.0,19.7,-99.0,9.62,19.51,18.12,21.71,600,85,72,600
01-12-2008 21:00,19.0,-99.0,19.5,-99.0,9.66,19.57,18.15,21.78,600,85,72,600
01-12-2008 21:30,19.0,-99.0,19.7,-99.0,9.65,19.57,18.13,21.67,600,85,74,600
01-12-2008 22:00,18.6,-99.0,19.7,-99.0,9.67,19.71,18.13,21.82,600,85,74,600
01-12-2008 22:30,17.8,-99.0,19.1,-99.0,9.72,19.79,18.21,21.89,600,85,74,600
01-12-2008 23:00,18.6,-99.0,20.4,-99.0,9.65,19.76,18.05,21.89,600,85,74,600
01-12-2008 23:30,18.0,-99.0,20.0,-99.0,9.69,19.76,18.10,21.82,600,87,74,600
02-12-2008 00:00,17.7,-99.0,20.1,-99.0,9.70,19.83,18.09,21.79,600,87,74,600
02-12-2008 00:30,17.7,-99.0,20.2,-99.0,9.69,19.83,18.09,21.77,600,87,74,600
02-12-2008 01:00,17.6,-99.0,20.4,-99.0,9.69,19.89,18.06,21.82,600,87,74,600
02-12-2008 01:30,16.8,-99.0,19.8,-99.0,9.74,19.97,18.14,21.82,600,87,74,600
02-12-2008 02:00,16.9,-99.0,20.1,-99.0,9.73,20.03,18.10,21.82,600,87,74,600
02-12-2008 02:30,16.3,-99.0,19.8,-99.0,9.77,20.08,18.14,21.82,600,87,74,600
02-12-2008 03:00,15.5,-99.0,19.2,-99.0,9.82,19.89,18.23,21.48,600,87,74,600
02-12-2008 03:30,16.5,-99.0,20.4,-99.0,9.74,20.02,18.07,21.61,600,87,74,600
02-12-2008 04:00,14.9,-99.0,19.0,-99.0,9.86,20.14,18.26,21.70,600,87,74,600
02-12-2008 04:30,14.6,-99.0,18.9,-99.0,9.87,20.26,18.27,21.89,600,87,76,600
02-12-2008 05:00,14.4,-99.0,18.9,-99.0,9.88,20.28,18.27,21.89,600,90,76,600
02-12-2008 05:30,14.3,-99.0,18.9,-99.0,9.88,20.30,18.27,21.89,600,90,74,600
02-12-2008 06:00,15.1,-99.0,19.6,-99.0,9.80,20.20,18.18,21.82,600,90,74,600
02-12-2008 06:30,14.9,-99.0,19.0,-99.0,9.81,20.05,18.26,21.89,600,90,74,600
02-12-2008 07:00,15.3,-99.0,18.8,-99.0,9.76,19.85,18.27,21.83,600,90,72,600
02-12-2008 07:30,17.5,-99.0,20.1,-99.0,9.59,19.70,18.10,21.83,600,90,72,600
02-12-2008 08:00,18.0,-99.0,19.6,-99.0,9.53,19.63,18.17,21.83,600,90,72,600
02-12-2008 08:30,18.9,-99.0,19.5,-99.0,9.45,19.53,18.17,21.76,600,90,72,600
02-12-2008 09:00,19.4,-99.0,18.9,-99.0,9.41,19.29,18.24,21.49,600,87,72,600
02-12-2008 09:30,20.8,-99.0,19.1,-99.0,9.29,19.27,18.21,21.49,600,87,72,600
02-12-2008 10:00,23.1,-99.0,20.4,-99.0,9.13,19.26,18.02,21.51,600,87,72,600
02-12-2008 10:30,23.4,-99.0,19.8,-99.0,9.08,19.13,18.10,21.43,600,87,72,600
02-12-2008 11:00,23.4,-99.0,18.8,-99.0,9.06,19.08,18.22,21.40,600,87,72,600
02-12-2008 11:30,25.6,-99.0,20.3,-99.0,8.91,19.05,18.01,21.38,600,87,72,600
02-12-2008 12:00,25.2,-99.0,19.1,-99.0,8.90,19.33,18.15,21.83,600,87,72,600
